camera_id,location,main_road,cross_road,latitude,longitude,image_url,image_size_kb
8157,KINGSTON RD & 401 C E 2A W RAMP,KINGSTON RD,401 C E 2A W RAMP,43.794880001778,-79.1527880002371,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8157.jpg,27
8158,WARDEN AVE & 401 C W WARDEN AV RAMP,WARDEN AVE,401 C W WARDEN AV RAMP,43.7716120023711,-79.3044690067384,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8158.jpg,100
8159,MOUNT PLEASANT RD & ST CLAIR AVE E,MOUNT PLEASANT RD,ST CLAIR AVE E,43.6904950075455,-79.383236003103,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8159.jpg,111
8160,MOUNT PLEASANT RD & LAWRENCE AVE E,MOUNT PLEASANT RD,LAWRENCE AVE E,43.7262290020609,-79.3972519941648,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8160.jpg,101
8161,YONGE ST & ST CLAIR AVE,YONGE ST,ST CLAIR AVE,43.6880380004903,-79.3939359940352,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8161.jpg,173
8162,YONGE ST & FINCH AVE,YONGE ST,FINCH AVE,43.7795570031574,-79.415668002497,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8162.jpg,142
8163,YONGE ST & STEELES AVE,YONGE ST,STEELES AVE,43.7978530042256,-79.420168000608,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8163.jpg,131
8164,SPADINA AVE & BREMNER BLVD / FORT YORK BLVD,SPADINA AVE,BREMNER BLVD / FORT YORK BLVD,43.6407730046315,-79.3928419894539,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8164.jpg,167
8165,SPADINA AVE & DUNDAS ST W,SPADINA AVE,DUNDAS ST W,43.6529310032037,-79.3977529964177,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8165.jpg,154
8166,SPADINA AVE & COLLEGE ST,SPADINA AVE,COLLEGE ST,43.6580510041919,-79.3998939953296,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8166.jpg,161
