latitude,longitude,location,main_road
43.7124650016852,-79.4279589930438,BATHURST ST & GLENCAIRN AVE,BATHURST ST
43.7193899988087,-79.4299230033164,BATHURST ST & LAWRENCE AVE W,BATHURST ST
43.6256519951851,-79.4860500082425,PARK LAWN RD & GARDINER E PARK LAWN RD RAMP,PARK LAWN RD
43.7109910089439,-79.5057489945701,JANE ST & 400 S JANE ST RAMP / JANE ST BLACK CR S RAMP,JANE ST
43.7150219997975,-79.5364880010728,WESTON RD & 401 C W WESTON RD RAMP,WESTON RD
43.7113400014744,-79.5535119934489,ISLINGTON AVE & 401 C W ISLINGTON N RAMP / ALLENBY AVE,ISLINGTON AVE
43.6994399987515,-79.5869850044948,HIGHWAY 27 & BELFIELD RD,HIGHWAY 27
43.636412004782,-79.4095549910697,STRACHAN AVE & FLEET ST / MANITOBA DR,STRACHAN AVE
43.6585260000707,-79.3389260048634,EASTERN AVE & CARLAW AVE,EASTERN AVE
43.6292290039945,-79.4902869919342,THE QUEENSWAY & PARK LAWN RD,THE QUEENSWAY
43.6263900067065,-79.5028789943969,THE QUEENSWAY & ROYAL YORK RD,THE QUEENSWAY
43.6152000006988,-79.5527800060276,THE QUEENSWAY & 427 C S QUEENSWAY RAMP / SHERWAY GARDENS RD,THE QUEENSWAY
43.6289439959311,-79.5547500019616,DUNDAS ST W & CLOVERDALE MALL / 427 C N DUNDAS RAMP,DUNDAS ST W
43.6525900003544,-79.4327059977383,COLLEGE ST & DUFFERIN ST,COLLEGE ST
43.6813959985646,-79.3321740091058,DANFORTH AVE & GREENWOOD AVE,DANFORTH AVE
43.6789680044129,-79.3450940026882,DANFORTH AVE & PAPE AVE,DANFORTH AVE
43.6717750042749,-79.3711120036195,BLOOR ST E & PARLIAMENT ST,BLOOR ST E
43.674790002261,-79.4068669984966,DUPONT ST & SPADINA RD,DUPONT ST
43.6832840041639,-79.4184480017144,ST CLAIR AVE W & BATHURST ST,ST CLAIR AVE W
43.6742729967716,-79.5632249985061,EGLINTON AVE W & MARTIN GROVE RD,EGLINTON AVE W
43.6739010061109,-79.5674490051473,EGLINTON AVE W & 27 401 427 EGLINTON E RAMP,EGLINTON AVE W
43.7497809959362,-79.2748700008901,LAWRENCE AVE E & KENNEDY RD,LAWRENCE AVE E
43.7455579997031,-79.2945790034661,LAWRENCE AVE E & WARDEN AVE,LAWRENCE AVE E
43.7756939971651,-79.3378910067079,SHEPPARD AVE E & 404 N SHEPPARD AVE RAMP / YORKLAND RD,SHEPPARD AVE E
43.7946109966981,-79.3455480014191,FINCH AVE E & 404 S FINCH RAMP,FINCH AVE E
43.7538769957631,-79.5327230002816,FINCH AVE W & 400 S FINCH W RAMP,FINCH AVE W
43.8239470013074,-79.3070240017318,STEELES AVE E & KENNEDY RD,STEELES AVE E
43.7927200071234,-79.4455909992798,STEELES AVE W & BATHURST ST,STEELES AVE W
43.7734599946248,-79.5317010027174,STEELES AVE W & NORFINCH DR / 400 N FINCH W RAMP,STEELES AVE W
43.7702630013888,-79.5462309983191,STEELES AVE W & WESTON RD,STEELES AVE W
43.7580330011076,-79.6032530015559,STEELES AVE W & MARTIN GROVE RD,STEELES AVE W
43.6492570052918,-79.3777979961203,YONGE ST & KING ST,YONGE ST
43.6492880049747,-79.3778560100493,YONGE ST & KING ST,YONGE ST
43.6687259993692,-79.305612000479,QUEEN ST E & WOODBINE AVE,QUEEN ST E
43.6686610013541,-79.3059089992216,QUEEN ST E & WOODBINE AVE,QUEEN ST E
43.66706400923,-79.3128269972601,QUEEN ST & KINGSTON RD / EASTERN AVE,QUEEN ST
43.6632320088546,-79.3299989995545,QUEEN ST E & LESLIE ST,QUEEN ST E
43.6587690048686,-79.3500040062003,QUEEN ST E & BROADVIEW AVE,QUEEN ST E
43.658728004101,-79.3498740008699,QUEEN ST E & BROADVIEW AVE,QUEEN ST E
43.6739560046614,-79.3077629958218,KINGSTON RD & WOODBINE AVE,KINGSTON RD
43.6737470017674,-79.3079389933436,KINGSTON RD & WOODBINE AVE,KINGSTON RD
43.6662360057122,-79.3344880076474,DUNDAS ST E & JONES AVE,DUNDAS ST E
43.6624200063065,-79.3511489931235,BROADVIEW AVE & DUNDAS ST E,BROADVIEW AVE
43.662566009357,-79.3513159948418,BROADVIEW AVE & DUNDAS ST E,BROADVIEW AVE
43.6594629996268,-79.366157998329,DUNDAS ST E & PARLIAMENT ST,DUNDAS ST E
43.6593190045058,-79.3660960038927,DUNDAS ST E & PARLIAMENT ST,DUNDAS ST E
43.6856530043537,-79.3125659968904,DANFORTH AVE & WOODBINE AVE,DANFORTH AVE
43.6762439982069,-79.3591560011689,DANFORTH AVE & BROADVIEW AVE,DANFORTH AVE
43.6762900038671,-79.3590609943736,DANFORTH AVE & BROADVIEW AVE,DANFORTH AVE
43.6806780092268,-79.3108340074612,GERRARD ST E & WOODBINE AVE,GERRARD ST E
43.6549068205085,-79.3536761945027,BAYVIEW AVE & LAWREN HARRIS SQ,BAYVIEW AVE
43.6659232583116,-79.3574727013327,BAYVIEW AVE & RIVER ST,BAYVIEW AVE
43.6657488532651,-79.3572313196213,BAYVIEW AVE & RIVER ST,BAYVIEW AVE
43.6700879052613,-79.3602066910709,BAYVIEW AVE & ROSEDALE VALLEY RD,BAYVIEW AVE
43.6702507344075,-79.3604163055408,BAYVIEW AVE & ROSEDALE VALLEY RD,BAYVIEW AVE
43.6881625336124,-79.3635193843526,BAYVIEW AVE & POTTERY RD,BAYVIEW AVE
43.6877914735415,-79.3634746152559,BAYVIEW AVE & POTTERY RD,BAYVIEW AVE
43.6822823169248,-79.5262258698008,EGLINTON AVE W & ROYAL YORK RD,EGLINTON AVE W
43.6838620012644,-79.5110450049756,EGLINTON AVE W & SCARLETT RD,EGLINTON AVE W
43.6797876707112,-79.538777842106,EGLINTON AVE W & ISLINGTON AVE,EGLINTON AVE W
43.6664589982731,-79.3933573019622,QUEENS PARK & QUEENS PARK CRES W,QUEENS PARK
43.6651000023273,-79.3941209922341,QUEENS PARK & HOSKIN AVE,QUEENS PARK
43.6635840038797,-79.3906480060688,QUEENS PARK CRES E & WELLESLEY ST,QUEENS PARK CRES E
43.6770409938542,-79.5510899939112,EGLINTON AVE W & KIPLING AVE,EGLINTON AVE W
43.7040269976501,-79.3976580052819,YONGE ST & BERWICK AVE,YONGE ST
43.7110320003666,-79.3913460026811,MOUNT PLEASANT RD & BROADWAY AVE,MOUNT PLEASANT RD
43.7095019969611,-79.3990990096539,YONGE ST & BROADWAY AVE / MONTGOMERY AVE,YONGE ST
43.7059930403243,-79.3893795767421,MOUNT PLEASANT RD & SOUDAN AVE,MOUNT PLEASANT RD
43.6501020067014,-79.3621960052269,PARLIAMENT ST & MILL ST,PARLIAMENT ST
43.6538780040335,-79.3583589957559,CHERRY ST & EASTERN AVE,CHERRY ST
43.6513330022476,-79.3573790018332,CHERRY ST & MILL ST,CHERRY ST
43.6326860020577,-79.4249289918329,DUFFERIN ST & SASKATCHEWAN RD / BRITISH COLUMBIA RD,DUFFERIN ST
43.6433479983208,-79.394172997367,SPADINA AVE & CLARENCE SQ,SPADINA AVE
43.7070739969293,-79.3967430005501,EGLINTON AVE E & HOLLY ST,EGLINTON AVE E
43.7802480021657,-79.4133669971215,FINCH AVE E & DORIS AVE,FINCH AVE E
43.6316229981203,-79.4272779992321,BRITISH COLUMBIA RD & YUKON PL / PRIVATE ACCESS,BRITISH COLUMBIA RD
43.6523110026444,-79.4060219932683,DUNDAS ST W & BATHURST ST,DUNDAS ST W
43.6496510050056,-79.4314530031817,DUFFERIN ST & DUNDAS ST W,DUFFERIN ST
43.6392840009529,-79.4108700033671,STRACHAN AVE & EAST LIBERTY ST / ORDNANCE ST,STRACHAN AVE
43.6502809998322,-79.4410200023925,DUNDAS ST W & COLLEGE ST / ST HELEN'S AVE,DUNDAS ST W
43.6434819971058,-79.4223690072574,QUEEN ST W & DOVERCOURT RD,QUEEN ST W
43.6447009991392,-79.4162730002572,QUEEN ST W & SHAW ST,QUEEN ST W
43.6407460081365,-79.3914950081819,BREMNER BLVD & NAVY WHARF CRT,BREMNER BLVD
43.6407580008455,-79.4114689982728,STRACHAN AVE & WELLINGTON ST W / DOURO ST,STRACHAN AVE
43.6370740010363,-79.4266540030886,DUFFERIN ST & LIBERTY ST / PRIVATE ACCESS,DUFFERIN ST
43.640855999794,-79.3876230004413,BREMNER BLVD & REES ST,BREMNER BLVD
43.6385680051435,-79.4197019966587,LIBERTY ST & HANNA AVE / EAST LIBERTY ST,LIBERTY ST
43.6434210078596,-79.3912850050518,FRONT ST W & BLUE JAYS WAY,FRONT ST W
43.656846993807,-79.3524119952827,DON VALLEY PARKWAY & EASTERN AVE,DON VALLEY PARKWAY
43.6618990027157,-79.3547479999587,DON VALLEY PARKWAY & DUNDAS ST E,DON VALLEY PARKWAY
43.6719379994654,-79.3589880056487,DON VALLEY PARKWAY & PRINCE EDWARD VIADUCT / DANFORTH AVE,DON VALLEY PARKWAY
43.6815389966516,-79.3627990035328,DON VALLEY PARKWAY & PRINCE EDWARD VIADUCT / BLOOR ST E,DON VALLEY PARKWAY
43.6934500073592,-79.3573090027233,DON VALLEY PARKWAY S & LEASIDE BDGE,DON VALLEY PARKWAY S
43.698183000675,-79.3495169988887,DON VALLEY PARKWAY & LEASIDE BDGE,DON VALLEY PARKWAY
43.7005990065432,-79.33760500687,DON VALLEY PARKWAY S & DON MILLS RD,DON VALLEY PARKWAY S
43.7076860024448,-79.3313179946592,DON VALLEY PARKWAY & SPANBRIDGE RD,DON VALLEY PARKWAY
43.7126170083698,-79.3250279902538,DON VALLEY PARKWAY & SPANBRIDGE RD,DON VALLEY PARKWAY
43.7180650056625,-79.3272860007317,DON VALLEY PARKWAY N & ST DENNIS DR,DON VALLEY PARKWAY N
43.7235310002238,-79.3299969948379,DON VALLEY PARKWAY & EGLINTON AVE E,DON VALLEY PARKWAY
43.7269910035716,-79.3300139955125,WYNFORD DR & WYNFORD DVP N RUMP,WYNFORD DR
43.7309400013097,-79.3305190031422,DON VALLEY PARKWAY & CONCORDE GT,DON VALLEY PARKWAY
43.7396720012104,-79.3318240037522,DON VALLEY PARKWAY N & LAWRENCE AVE E,DON VALLEY PARKWAY N
43.7492470071044,-79.333251989374,DON VALLEY PARKWAY N & BROOKBANKS DR,DON VALLEY PARKWAY N
43.7579560075967,-79.3353700007091,DON VALLEY PARKWAY N & YORK MILLS E DVP N RAMP,DON VALLEY PARKWAY N
43.6499680066663,-79.3492809942495,LAKE SHORE BLVD E & DON ROADWAY,LAKE SHORE BLVD E
43.6477380054014,-79.3610430031224,F G GARDINER XY & PARLIAMENT ST,F G GARDINER XY
43.6456270004132,-79.3700230063546,F G GARDINER XY & LOWER JARVIS ST,F G GARDINER XY
43.6423109978803,-79.3792179911381,LAKE SHORE BLVD W & BREMNER BLVD,LAKE SHORE BLVD W
